benchmark,variant,feasible/status,analytical_area,analytical_latency,analytical_power,analytical_dsp_count,analytical_lut_count,dsp_intended_mul_count,lut_intended_mul_count,total_ops
fir8,original,feasible,55,17,31,8,7,8,0,15
fir8,weighted,feasible,25,18,33,0,41,0,4,13
fir8,latency_unconstrained,feasible,38,9,31,10,10,3,1,13
fir8,latency_under_dsp,feasible,25,18,33,0,41,0,4,13
fir8,latency_under_lut,feasible,40,9,28,11,2,4,0,13
fir8,power_unconstrained,feasible,33,16,21,4,9,4,0,13
dot16,original,feasible,111,33,63,16,15,16,0,31
dot16,weighted,feasible,79,36,111,0,143,0,16,31
dot16,latency_unconstrained,feasible,94,21,126,15,128,0,16,31
dot16,latency_under_dsp,feasible,79,36,111,0,143,0,16,31
dot16,latency_under_lut,no feasible solution satisfies the provided budgets,,,,,,0,0,0
dot16,power_unconstrained,feasible,93,33,90,7,87,7,9,31
gemm_k8,original,feasible,55,17,31,8,7,8,0,15
gemm_k8,weighted,feasible,39,20,55,0,71,0,8,15
gemm_k8,latency_unconstrained,feasible,54,10,50,11,32,4,4,15
gemm_k8,latency_under_dsp,feasible,39,20,55,0,71,0,8,15
gemm_k8,latency_under_lut,feasible,55,17,31,8,7,8,0,15
gemm_k8,power_unconstrained,feasible,55,17,31,8,7,8,0,15
gemm_blocked_k8,original,feasible,55,11,31,8,7,8,0,15
gemm_blocked_k8,weighted,feasible,39,14,55,0,71,0,8,15
gemm_blocked_k8,latency_unconstrained,feasible,62,7,38,15,0,8,0,15
gemm_blocked_k8,latency_under_dsp,feasible,39,14,55,0,71,0,8,15
gemm_blocked_k8,latency_under_lut,feasible,62,7,38,15,0,8,0,15
gemm_blocked_k8,power_unconstrained,feasible,55,11,31,8,7,8,0,15
conv3x3,original,feasible,62,19,35,9,8,9,0,17
conv3x3,weighted,feasible,16,18,18,0,20,0,1,13
conv3x3,latency_unconstrained,feasible,27,9,24,10,3,1,0,13
conv3x3,latency_under_dsp,feasible,16,18,18,0,20,0,1,13
conv3x3,latency_under_lut,feasible,27,9,24,10,3,1,0,13
conv3x3,power_unconstrained,feasible,18,18,15,1,12,1,0,13
stencil5,original,feasible,34,11,19,5,4,5,0,9
stencil5,weighted,feasible,24,14,34,0,44,0,5,9
stencil5,latency_unconstrained,feasible,36,7,26,8,8,4,1,9
stencil5,latency_under_dsp,feasible,24,14,34,0,44,0,5,9
stencil5,latency_under_lut,feasible,38,7,23,9,0,5,0,9
stencil5,power_unconstrained,feasible,34,11,19,5,4,5,0,9
